club,league
Shakhtar Donetsk,Ukrainian Premier League
Universidad de Chile,Chilian Primera División
Audax Italiano,Chilian Primera División
Universidad Católica,Chilian Primera División
Santiago Wanderers,Chilian Primera División
Unión Española,Chilian Primera División
Colo-Colo,Chilian Primera División
CD Huachipato,Chilian Primera División
CD Palestino,Chilian Primera División
CD O'Higgins,Chilian Primera División
Deportes Iquique,Chilian Primera División
CD Antofagasta,Chilian Primera División
CD Universidad de Concepción,Chilian Primera División
Everton de Viña del Mar,Chilian Primera División
Curicó Unido,Chilian Primera División
San Luis de Quillota,Chilian Primera División
Club de Deportes Temuco,Chilian Primera División
CD America de Cali,Colombian Primera A
Atletico Nacional Medellin,Colombian Primera A
CPD Junior Barranquilla,Colombian Primera A
Asociacion Deportivo Cali,Colombian Primera A
Independiente Medellín,Colombian Primera A
Independiente Santa Fe,Colombian Primera A
CD Los Millionarios Bogota,Colombian Primera A
CD Once Caldas Manizales,Colombian Primera A
Deportes Tolima,Colombian Primera A
Deportivo Pasto,Colombian Primera A
La Equidad,Colombian Primera A
Envigado FC,Colombian Primera A
Patriotas Boyacá FC,Colombian Primera A
Atlético Huila,Colombian Primera A
Águilas Doradas,Colombian Primera A
Alianza Petrolera,Colombian Primera A
Jaguares Fútbol Club,Colombian Primera A
Corporación Club Deportivo Tuluá,Colombian Primera A
Tigres FC,Colombian Primera A
Atlético Bucaramanga,Colombian Primera A
Monarcas Morelia,Mexican Liga MX
Monterrey,Mexican Liga MX
Cruz Azul,Mexican Liga MX
Club América,Mexican Liga MX
Guadalajara,Mexican Liga MX
U.N.A.M.,Mexican Liga MX
Deportivo Toluca,Mexican Liga MX
Tigres U.A.N.L.,Mexican Liga MX
Club Atlas,Mexican Liga MX
Necaxa,Mexican Liga MX
Santos Laguna,Mexican Liga MX
Tiburones Rojos de Veracruz,Mexican Liga MX
Pachuca,Mexican Liga MX
Querétaro,Mexican Liga MX
Puebla,Mexican Liga MX
Club León,Mexican Liga MX
Lobos de la BUAP,Mexican Liga MX
Club Tijuana,Mexican Liga MX
Kaizer Chiefs,South African PSL
Orlando Pirates,South African PSL
Júbilo Iwata,Japanese J1 League
Kashiwa Reysol,Japanese J1 League
Vissel Kobe,Japanese J1 League
Kashima Antlers,Japanese J1 League
Cerezo Osaka,Japanese J1 League
Shimizu S-Pulse,Japanese J1 League
F.C. Tokyo,Japanese J1 League
Yokohama F. Marinos,Japanese J1 League
Urawa Red Diamonds,Japanese J1 League
Kawasaki Frontale,Japanese J1 League
Gamba Osaka,Japanese J1 League
Omiya Ardija,Japanese J1 League
Hokkaido Consadole Sapporo,Japanese J1 League
Vegalta Sendai,Japanese J1 League
Albirex Niigata,Japanese J1 League
Sanfrecce Hiroshima,Japanese J1 League
Sagan Tosu,Japanese J1 League
Ventforet Kofu,Japanese J1 League
Al Hilal,Saudi Professional League
Al Ittihad,Saudi Professional League
Al Shabab,Saudi Professional League
Ettifaq FC,Saudi Professional League
Al Nassr,Saudi Professional League
Al Ahli,Saudi Professional League
Al Faisaly,Saudi Professional League
Al Fateh,Saudi Professional League
Al Qadisiyah,Saudi Professional League
Al Raed,Saudi Professional League
Al Taawoun,Saudi Professional League
Al Batin,Saudi Professional League
Al Fayha,Saudi Professional League
Ohod Club,Saudi Professional League
Adelaide United,Australian A-League
Brisbane Roar,Australian A-League
Central Coast Mariners,Australian A-League
Melbourne Victory,Australian A-League
Newcastle Jets,Australian A-League
Perth Glory,Australian A-League
Sydney FC,Australian A-League
Wellington Phoenix,Australian A-League
Melbourne City,Australian A-League
Western Sydney Wanderers,Australian A-League
San Lorenzo de Almagro,Argentinian Superliga
River Plate,Argentinian Superliga
Boca Juniors,Argentinian Superliga
Estudiantes de La Plata,Argentinian Superliga
Gimnasia y Esgrima La Plata,Argentinian Superliga
Racing Club de Avellaneda,Argentinian Superliga
Vélez Sarsfield,Argentinian Superliga
Independiente,Argentinian Superliga
Arsenal de Sarandí,Argentinian Superliga
Club Atlético Lanús,Argentinian Superliga
Newell's Old Boys,Argentinian Superliga
Bahía Blanca,Argentinian Superliga
Banfield,Argentinian Superliga
Chacarita Juniors,Argentinian Superliga
Colon de Santa Fe,Argentinian Superliga
Rosario Central,Argentinian Superliga
Club Atlético Patronato,Argentinian Superliga
Argentinos Juniors,Argentinian Superliga
Belgrano de Córdoba,Argentinian Superliga
Godoy Cruz,Argentinian Superliga
Atlético Tucumán,Argentinian Superliga
Defensa y Justicia,Argentinian Superliga
Club Atlético Huracán,Argentinian Superliga
San Martín de San Juan,Argentinian Superliga
Club Atlético Tigre,Argentinian Superliga
Unión de Santa Fe,Argentinian Superliga
Talleres de Cordoba,Argentinian Superliga
Temperley,Argentinian Superliga
Hansa Rostock,German 3. Liga
SpVgg Unterhaching,German 3. Liga
VfL Osnabrück,German 3. Liga
SV Wehen Wiesbaden,German 3. Liga
Chemnitzer FC,German 3. Liga
SC Preußen Münster,German 3. Liga
VfR Aalen,German 3. Liga
Karlsruher SC,German 3. Liga
SC Paderborn 07,German 3. Liga
Rot-Weiß Erfurt,German 3. Liga
SC Fortuna Köln,German 3. Liga
Würzburger FV,German 3. Liga
Hallescher FC,German 3. Liga
1. FC Magdeburg,German 3. Liga
FC Carl Zeiss Jena,German 3. Liga
FSV Zwickau,German 3. Liga
SV Meppen,German 3. Liga
Werder Bremen II,German 3. Liga
Sportfreunde Lotte,German 3. Liga
SG Sonnenhof Großaspach,German 3. Liga
